Magnetic (kG),MagnetoCurrnet (A)
5.000000000000000000000000000000,0.000131082599999999991000000000
4.980000000000000420000000000000,0.000131177499999999989000000000
4.959999999999999960000000000000,0.000130215600000000001000000000
4.940000000000000390000000000000,0.000131273500000000010000000000
4.919999999999999930000000000000,0.000130769199999999995000000000
4.900000000000000350000000000000,0.000130734800000000001000000000
4.879999999999999890000000000000,0.000130766700000000010000000000
4.860000000000000320000000000000,0.000130729000000000002000000000
4.839999999999999860000000000000,0.000131465300000000010000000000
4.820000000000000280000000000000,0.000131880799999999993000000000
4.799999999999999820000000000000,0.000131531299999999992000000000
4.780000000000000250000000000000,0.000131725499999999998000000000
4.759999999999999780000000000000,0.000131328400000000001000000000
4.740000000000000210000000000000,0.000131535300000000001000000000
4.719999999999999750000000000000,0.000131029899999999990000000000
4.700000000000000180000000000000,0.000131533400000000004000000000
4.679999999999999710000000000000,0.000131330900000000014000000000
4.660000000000000140000000000000,0.000131755299999999995000000000
4.639999999999999680000000000000,0.000131507699999999995000000000
4.620000000000000100000000000000,0.000131020500000000011000000000
4.599999999999999640000000000000,0.000130679800000000002000000000
4.580000000000000070000000000000,0.000130540899999999989000000000
4.559999999999999610000000000000,0.000130587499999999996000000000
4.540000000000000030000000000000,0.000130034999999999998000000000
4.519999999999999570000000000000,0.000129985500000000004000000000
4.500000000000000000000000000000,0.000130461700000000005000000000
4.480000000000000420000000000000,0.000130657800000000008000000000
4.459999999999999960000000000000,0.000130178800000000001000000000
4.439999999999999500000000000000,0.000130330599999999995000000000
4.419999999999999930000000000000,0.000129324299999999991000000000
4.400000000000000350000000000000,0.000130283400000000000000000000
4.379999999999999890000000000000,0.000129645700000000005000000000
4.360000000000000320000000000000,0.000129546900000000005000000000
4.339999999999999860000000000000,0.000130114200000000009000000000
4.320000000000000280000000000000,0.000130182999999999997000000000
4.299999999999999820000000000000,0.000129635799999999990000000000
4.280000000000000250000000000000,0.000130039899999999988000000000
4.259999999999999780000000000000,0.000130047500000000005000000000
4.240000000000000210000000000000,0.000129362599999999987000000000
4.219999999999999750000000000000,0.000129030599999999991000000000
4.200000000000000180000000000000,0.000129629599999999990000000000
